999999,180,1,9,10,17,5,3,3,59,34,9,8,7,11223344566667789
999999,180,2,9,11,13,6,3,3,53,32,9,4,6,3355667777888
999999,180,3,10,8,11,4,6,1,60,33,4,7,2,11223445788
999999,180,4,15,13,10,8,10,5,90,42,7,3,4,1223456889
999999,180,5,10,12,15,8,5,1,70,40,9,6,7,123444566888889
999999,180,6,9,9,13,2,6,0,57,30,7,6,5,1112234457789
999999,180,7,7,15,12,2,7,1,46,46,5,7,2,112223345778
999999,180,8,11,10,10,5,6,3,74,35,7,3,5,1223457889
999999,180,9,7,14,14,4,9,1,46,40,7,7,5,11223445677888
999999,180,10,8,12,15,5,6,2,50,40,7,8,5,112224445566668
999999,180,11,14,8,9,5,2,2,101,33,6,3,6,123344468
999999,180,12,11,11,13,4,6,2,62,46,7,6,5,2333334567789
999999,180,13,9,15,14,4,6,2,43,52,8,6,4,22222334456688
999999,180,14,8,14,14,4,5,2,40,61,7,7,5,12356777788999
999999,180,15,15,12,9,4,7,1,84,40,6,3,5,256788889
999999,180,16,16,9,11,6,3,2,118,41,5,6,2,12344445779
999999,180,17,9,12,13,4,8,1,49,48,10,3,6,1233456667799
999999,180,18,16,11,13,12,5,4,104,40,5,8,5,2233556778889
999999,180,19,9,9,9,7,6,1,68,37,4,5,2,122344678
999999,180,20,4,8,16,4,3,1,28,25,10,6,6,2234445666677788
999999,180,21,14,13,9,8,9,2,106,48,2,7,1,122224577
999999,180,22,15,13,11,7,6,2,93,40,4,7,4,23444557779
999999,180,23,13,10,14,8,6,2,77,31,9,5,5,11235557788899
999999,180,24,5,15,11,2,6,1,35,53,7,4,5,12334556789
999999,180,25,13,14,9,5,9,3,71,49,4,5,2,233334679
999999,180,26,10,16,15,5,8,3,53,70,7,8,2,123334555566678
999999,180,27,10,10,15,6,6,0,61,30,9,6,6,112333444567889
999999,180,28,12,12,10,4,7,1,85,41,8,2,5,1223445899
999999,180,29,11,15,13,5,7,2,73,57,6,7,5,1334444567889
999999,180,30,13,9,13,6,5,3,75,31,9,4,5,2224555666799
999999,180,31,8,12,16,3,6,2,45,43,5,11,1,2334444455677778
999999,180,32,14,14,11,9,7,4,64,49,5,6,4,22234566788
999999,180,33,13,15,9,7,7,6,89,56,7,2,2,244556789
999999,180,34,9,14,12,3,9,1,60,48,8,4,6,333344468888
999999,180,35,6,15,17,3,7,1,34,45,10,7,5,12334456667778889
999999,180,36,11,17,11,7,10,1,66,57,6,5,4,22245667789
999999,180,37,9,16,14,2,11,0,53,62,8,6,4,23445567888889
999999,180,38,15,12,12,6,6,2,83,51,8,4,7,334455566889
999999,180,39,13,10,12,6,3,1,92,28,6,6,4,222244568889
999999,180,40,8,11,14,2,5,4,51,38,8,6,4,22233444445578
